name,firstExponential,StartedFlattening,Total Cases,Total Duration in Days
Austria,2/25/2020,3/28/2020,17109.0,32
Belarus,03/09/2020,05/09/2020,53973.0,61
Canada,03/12/2020,05/03/2020,100404.0,52
China,1/24/2020,2/13/2020,84335.0,20
Czechia,03/07/2020,05/10/2020,10025.0,64
Denmark,03/02/2020,4/24/2020,12194.0,53
Ecuador,3/13/2020,4/24/2020,46752.0,42
France,2/24/2020,4/27/2020,189602.0,63
Germany,2/25/2020,4/30/2020,187519.0,65
Ireland,03/02/2020,05/06/2020,25304.0,65
Israel,2/26/2020,04/05/2020,19056.0,39
Italy,2/18/2020,4/15/2020,236989.0,57
Netherlands,2/27/2020,04/10/2020,48784.0,43
Panama,03/10/2020,05/09/2020,21418.0,60
Portugal,03/02/2020,4/23/2020,36690.0,52
Romania,03/09/2020,4/18/2020,21999.0,40
Serbia,03/07/2020,4/27/2020,12311.0,51
South Korea,2/17/2020,3/15/2020,12122.0,27
Spain,2/22/2020,04/11/2020,243929.0,49
Sweden,2/25/2020,05/02/2020,51615.0,67
Switzerland,2/26/2020,04/07/2020,31118.0,41
United Kingdom,02/06/2020,4/29/2020,295889.0,83
US,2/28/2020,05/05/2020,2094058.0,67
