Date,Market value,Death,Ratio
2/25/2020,-2.3,0.0,
2/26/2020,-0.35,0.0,
2/27/2020,-3.85,0.0,
2/28/2020,-2.06,0.0,
3/2/2020,-0.31,0.0,
3/3/2020,1.11,0.0,
3/4/2020,-0.39,0.0,
3/5/2020,-2.77,0.0,
3/6/2020,-3.87,0.0,
3/9/2020,-9.01,0.0,
3/10/2020,-0.78,0.0,
3/11/2020,-2.35,0.0,
3/12/2020,-13.65,1.1116024393893213e-05,-1227957.0
3/13/2020,0.48,1.1116024393893213e-05,43180.91
3/16/2020,-10.46,3.3348073181679636e-05,-313661.3
3/17/2020,-1.28,3.3348073181679636e-05,-38383.03
3/18/2020,-7.79,4.446409757557285e-05,-175197.53
3/19/2020,4.6,6.669614636335927e-05,68969.5
3/20/2020,10.74,6.669614636335927e-05,161028.79
3/23/2020,-0.44,0.00023343651227175746,-1884.88
3/24/2020,8.16,0.0003112486830290099,26216.98
3/25/2020,-0.8,0.00033348073181679633,-2398.94
3/26/2020,1.91,0.0005446851953007674,3506.61
3/27/2020,-2.85,0.0006447294148458063,-4420.46
