Date,Market value,Death,Ratio
3/12/2020,-12.34,2.65429623060738e-06,-4649066.62
3/13/2020,9.66,2.65429623060738e-06,3639382.78
3/16/2020,-9.89,1.061718492242952e-05,-931508.69
3/17/2020,2.63,1.32714811530369e-05,198169.29
3/18/2020,-7.6,2.123436984485904e-05,-357910.31
3/19/2020,3.83,2.388866607546642e-05,160327.08
3/20/2020,-2.62,3.1851554767288555e-05,-82256.58
3/23/2020,-5.26,6.63574057651845e-05,-79267.72
3/24/2020,11.96,6.901170199579188e-05,173303.94
3/25/2020,4.52,7.96288869182214e-05,56763.32
3/26/2020,1.77,0.00010086325676308043,17548.51
3/27/2020,-5.11,0.00014333199645279852,-35651.5
3/30/2020,2.76,0.0002123436984485904,12997.8
3/31/2020,2.61,0.0002680839192913454,9735.76
4/1/2020,-3.76,0.00028931828913620445,-12996.07
4/2/2020,1.72,0.0003689471760544258,4661.91
4/3/2020,-1.22,0.000475119025278721,-2567.78
4/6/2020,5.06,0.0008998064221759018,5623.43
4/7/2020,0.16,0.0009953610864777676,160.75
4/8/2020,2.29,0.0010802985658572037,2119.78
4/9/2020,1.73,0.001335111003995512,1295.77
4/13/2020,-0.64,0.0020730053561043636,-308.73
4/14/2020,1.3,0.0023915209037772495,543.59
4/15/2020,-2.1,0.002675530600452239,-784.89
4/16/2020,-0.42,0.0033417589543346914,-125.68
4/17/2020,3.31,0.0035992256887036073,919.64
4/20/2020,0.2,0.004583969590258945,43.63
4/21/2020,-3.12,0.005069705800460096,-615.42
4/22/2020,2.5,0.0055156275672021355,453.26
4/23/2020,-0.26,0.005948277852791139,-43.71
4/24/2020,1.19,0.006375619545918927,186.65
4/27/2020,1.54,0.007540855591155566,204.22
4/28/2020,1.07,0.007917765655901816,135.14
4/29/2020,2.9,0.008374304607566283,346.3
4/30/2020,-2.94,0.008785720523310427,-334.63
5/1/2020,-1.09,0.009388245767658303,-116.1
