Date,Market value,Death,Ratio
3/2/2020,1.23,0.0,
3/3/2020,3.17,0.0,
3/4/2020,0.97,0.0,
3/5/2020,-0.76,0.0,
3/6/2020,-2.96,0.0,
3/9/2020,-4.91,0.0,
3/10/2020,-1.46,0.0,
3/11/2020,-1.8,0.0,
3/12/2020,-7.52,0.0,
3/13/2020,0.84,0.0,
3/16/2020,-1.55,5.1830408140276584e-05,-29905.22
3/17/2020,1.5,6.910721085370211e-05,21705.4
3/18/2020,-2.26,6.910721085370211e-05,-32702.81
3/19/2020,0.94,0.00010366081628055317,9068.04
3/20/2020,0.72,0.00015549122442082974,4630.49
3/23/2020,-3.4,0.00041464326512221267,-8199.82
3/24/2020,3.17,0.0005528576868296169,5733.84
3/25/2020,2.43,0.0005874112922564679,4136.79
3/26/2020,3.5,0.0007083489112504467,4941.07
3/27/2020,-0.8,0.0008983937410981274,-890.48
3/30/2020,3.57,0.0013303138089337655,2683.58
3/31/2020,1.68,0.0015549122442082976,1080.45
4/1/2020,0.03,0.0017967874821962547,16.7
4/2/2020,-0.86,0.00212504673375134,-404.7
4/3/2020,1.66,0.0024014755771661483,691.24
4/6/2020,0.8,0.0032307621074105734,247.62
4/7/2020,0.45,0.0035071909508253823,128.31
4/8/2020,-0.68,0.0037663429915267646,-180.55
4/14/2020,1.96,0.005165764011314232,379.42
4/15/2020,-0.67,0.0053385320384484874,-125.5
4/16/2020,1.65,0.005545853671009594,297.52
4/17/2020,2.14,0.005805005711710977,368.65
4/20/2020,1.54,0.0062887561876868925,244.88
4/21/2020,-0.71,0.0063924170039674445,-111.07
4/22/2020,0.35,0.006634292241955403,52.76
4/23/2020,1.41,0.006807060269089657,207.14
4/24/2020,-0.91,0.006962551493510488,-130.7
