Date,Market value,Death,Ratio
2/24/2020,-3.94,1.5326932356791123e-06,-2570638.34
2/25/2020,-1.94,1.5326932356791123e-06,-1265745.78
2/26/2020,0.09,3.0653864713582247e-06,29360.08
2/27/2020,-3.32,3.0653864713582247e-06,-1083060.82
2/28/2020,-3.38,3.0653864713582247e-06,-1102634.21
3/2/2020,0.44,4.598079707037336e-06,95692.12
3/3/2020,1.12,6.130772942716449e-06,182684.96
3/4/2020,1.33,6.130772942716449e-06,216938.39
3/5/2020,-1.9,9.196159414074672e-06,-206607.99
3/6/2020,-4.14,1.3794239121112009e-05,-300125.29
3/9/2020,-8.39,2.912117147790313e-05,-288106.54
3/10/2020,-1.51,5.05788767774107e-05,-29854.36
3/11/2020,-0.57,7.356927531259737e-05,-7747.8
3/12/2020,-12.28,7.356927531259737e-05,-166917.51
3/13/2020,1.83,0.00012108276561864985,15113.63
3/16/2020,-5.75,0.00022837129211618768,-25178.3
3/17/2020,2.84,0.00022837129211618768,12435.89
3/18/2020,-5.94,0.00022837129211618768,-26010.27
3/19/2020,2.68,0.00037397714950570334,7166.21
3/20/2020,5.01,0.0006912446492912795,7247.8
3/23/2020,-3.32,0.0013211815691553947,-2512.9
3/24/2020,8.39,0.0016890279457183817,4967.35
3/25/2020,4.47,0.0020430800831602565,2187.87
3/26/2020,2.51,0.0026025131141831324,964.45
3/27/2020,-4.23,0.0030607883916511872,-1382.0
3/30/2020,0.62,0.00464406050410771,133.5
3/31/2020,0.4,0.005413472508418624,73.89
4/1/2020,-4.3,0.006765307942287601,-635.6
4/2/2020,0.33,0.008273478086195848,39.89
4/3/2020,-1.57,0.009993159896627812,-157.11
4/6/2020,4.61,0.013680819821671755,336.97
4/7/2020,2.12,0.015852646136629057,133.73
4/8/2020,0.1,0.016686431256838493,5.99
4/9/2020,1.44,0.018741772885884182,76.83
4/14/2020,0.38,0.024110797290468115,15.76
4/15/2020,-3.76,0.026314810163374676,-142.89
4/16/2020,-0.08,0.027468928169841048,-2.91
4/17/2020,3.42,0.028635307722192853,119.43
4/20/2020,0.65,0.031063093807508567,20.93
4/21/2020,-3.77,0.03187695391565417,-118.27
4/22/2020,1.25,0.03271073903586361,38.21
4/23/2020,0.89,0.03350160874547403,26.57
4/24/2020,-1.3,0.034099359107388885,-38.12
4/27/2020,2.55,0.0357056216183806,71.42
