Date,Market value,Death,Ratio
2/25/2020,-1.88,0.0,
2/26/2020,-0.12,0.0,
2/27/2020,-3.19,0.0,
2/28/2020,-3.86,0.0,
3/2/2020,-0.27,0.0,
3/3/2020,1.08,0.0,
3/4/2020,1.19,0.0,
3/5/2020,-1.51,0.0,
3/6/2020,-3.37,0.0,
3/9/2020,-7.94,2.388623758950218e-06,-3324089.85
3/10/2020,-1.41,2.388623758950218e-06,-590298.07
3/11/2020,-0.35,3.582935638425327e-06,-97685.26
3/12/2020,-12.24,3.582935638425327e-06,-3416193.1
3/13/2020,0.77,8.360183156325763e-06,92103.25
3/16/2020,-5.31,2.0303301951076852e-05,-261533.81
3/17/2020,2.25,2.8663485107402615e-05,78497.08
3/18/2020,-5.56,3.344073262530305e-05,-166264.3
3/19/2020,2.0,5.254972269690479e-05,38059.19
3/20/2020,3.7,8.001889592483231e-05,46239.08
3/23/2020,-2.1,0.00014690036117543843,-14295.4
3/24/2020,10.98,0.00018750696507759213,58557.82
3/25/2020,1.79,0.00024602824717187246,7275.59
3/26/2020,1.28,0.00031888127181985414,4014.03
3/27/2020,-3.68,0.00040845466278048733,-9009.57
3/30/2020,1.9,0.0007703311622614452,2466.47
3/31/2020,1.22,0.0009255917065932094,1318.08
4/1/2020,-3.94,0.0010987669291171002,-3585.84
4/2/2020,0.27,0.0013221032505789457,204.22
4/3/2020,-0.47,0.001522747646330764,-308.65
4/6/2020,5.77,0.0021617045018499474,2669.19
4/7/2020,2.79,0.00240773274902182,1158.77
4/8/2020,-0.23,0.002805438604887031,-81.98
4/9/2020,2.24,0.003113571069791609,719.43
4/14/2020,1.25,0.003934063330991009,317.74
4/15/2020,-3.9,0.0045431623895233145,-858.43
4/16/2020,0.21,0.004839351735633142,43.39
4/17/2020,3.15,0.005197645299475674,606.04
4/20/2020,0.47,0.00580674435800798,80.94
4/21/2020,-3.99,0.006010971689398224,-663.79
4/22/2020,1.61,0.0063047724117491,255.36
4/23/2020,0.95,0.006658288728073732,142.68
4/24/2020,-1.69,0.006879236425776629,-245.67
4/27/2020,3.13,0.007316354573664518,427.81
4/28/2020,1.27,0.0075408852070058385,168.42
4/29/2020,2.89,0.007723614924565529,374.18
4/30/2020,-2.22,0.007909927577763647,-280.66
