Date,Market value,Death,Ratio
3/2/2020,-0.15,0.0,
3/3/2020,1.55,0.0,
3/4/2020,0.8,0.0,
3/5/2020,-1.39,0.0,
3/6/2020,-2.81,0.0,
3/9/2020,-6.41,0.0,
3/10/2020,-0.65,0.0,
3/11/2020,-2.32,2.0298468683522515e-05,-114294.34
3/12/2020,-9.94,2.0298468683522515e-05,-489692.11
3/13/2020,0.44,2.0298468683522515e-05,21676.51
3/16/2020,-7.93,4.059693736704503e-05,-195334.93
3/17/2020,-0.18,4.059693736704503e-05,-4433.83
3/18/2020,-7.72,4.059693736704503e-05,-190162.13
3/19/2020,1.5,6.089540605056754e-05,24632.4
3/20/2020,3.88,6.089540605056754e-05,63715.81
3/23/2020,-2.89,0.00012179081210113508,-23729.21
3/24/2020,6.94,0.0001420892807846576,48842.53
3/25/2020,3.95,0.00018268621815170264,21621.77
3/26/2020,4.56,0.00038567090498692775,11823.55
3/27/2020,-5.39,0.0004465663110374953,-12069.88
3/30/2020,0.55,0.0010961173089102157,501.77
3/31/2020,4.25,0.0014411912765300986,2948.95
4/1/2020,-3.16,0.0017253698380994137,-1831.49
4/2/2020,-2.22,0.0019892499309852067,-1116.0
4/3/2020,-1.96,0.0024358162420227017,-804.66
4/6/2020,4.86,0.0035319335509329175,1376.02
4/7/2020,1.95,0.004262678423539728,457.46
4/8/2020,-0.1,0.004770140140627791,-20.96
4/9/2020,3.51,0.005338497263766421,657.49
4/14/2020,-2.0,0.008241178285510142,-242.68
4/15/2020,-4.11,0.009012520095483997,-456.03
4/16/2020,2.27,0.009865055780191943,230.11
4/17/2020,3.83,0.010758188402266933,356.01
4/20/2020,-0.8,0.013945047985579969,-57.37
4/21/2020,-2.19,0.014817882138971436,-147.79
4/22/2020,2.18,0.015609522417628812,139.66
4/23/2020,0.58,0.016116984134716877,35.99
4/24/2020,0.61,0.02058264724509183,29.64
4/27/2020,1.86,0.02236891248924181,83.15
4/28/2020,1.63,0.023525925204202595,69.29
4/29/2020,3.76,0.024155177733391795,155.66
4/30/2020,-1.48,0.02500771341809974,-59.18
5/4/2020,-3.86,0.0267736801935662,-144.17
5/5/2020,-0.13,0.027179649567236647,-4.78
5/6/2020,-1.32,0.027910394439843455,-47.29
