Date,Market value,Death,Ratio
2/26/2020,0.25,0.0,
2/27/2020,-4.54,0.0,
3/1/2020,-1.18,0.0,
3/3/2020,1.01,0.0,
3/4/2020,-2.08,0.0,
3/5/2020,-1.76,0.0,
3/8/2020,-4.78,0.0,
3/9/2020,-6.53,0.0,
3/11/2020,-3.58,0.0,
3/12/2020,-5.18,0.0,
3/15/2020,3.6,0.0,
3/16/2020,-4.33,0.0,
3/17/2020,2.12,0.0,
3/18/2020,-6.7,0.0,
3/19/2020,4.09,0.0,
3/22/2020,-3.88,1.1590918469015852e-05,-334744.83
3/23/2020,-0.96,1.1590918469015852e-05,-82823.46
3/24/2020,7.1,3.4772755407047555e-05,204182.84
3/25/2020,-0.85,5.795459234507926e-05,-14666.65
3/26/2020,3.02,9.272734775212681e-05,32568.6
3/29/2020,-1.05,0.00017386377703523776,-6039.21
3/30/2020,2.27,0.00018545469550425363,12240.19
3/31/2020,2.54,0.00023181836938031703,10956.85
4/1/2020,-3.42,0.00030136388019441217,-11348.41
4/2/2020,-1.19,0.00041727306488457066,-2851.85
4/5/2020,-2.1,0.0005679550049817767,-3697.48
