Date,Market value,Death,Ratio
2/18/2020,0.41,0.0,
2/19/2020,1.01,0.0,
2/20/2020,-1.56,0.0,
2/21/2020,-1.22,1.6534549006286831e-06,-737848.97
2/24/2020,-5.43,1.1574184304400783e-05,-469147.53
2/25/2020,-1.44,1.6534549006286834e-05,-87090.37
2/26/2020,1.44,1.9841458807544198e-05,72575.31
2/27/2020,-2.66,2.8108733310687614e-05,-94632.51
2/28/2020,-3.58,3.472255291320235e-05,-103103.02
3/2/2020,-1.5,8.597965483269153e-05,-17445.99
3/3/2020,0.43,0.00013062293714966597,3291.92
3/4/2020,0.91,0.0001769196743672691,5143.58
3/5/2020,-1.78,0.00024471132529304515,-7273.88
3/6/2020,-3.5,0.0003257306154238506,-10745.08
3/9/2020,-11.17,0.0007655496189910803,-14590.82
3/10/2020,-3.28,0.0010433300422966992,-3143.78
3/11/2020,0.33,0.0013674072028199212,241.33
3/12/2020,-16.92,0.0016799101790387421,-10071.97
3/13/2020,7.12,0.002093273904195913,3401.37
3/16/2020,-6.1,0.003568155675556698,-1709.57
3/17/2020,2.23,0.004138597616273594,538.83
3/18/2020,-1.27,0.004923988694072219,-257.92
3/19/2020,2.29,0.005630013936640667,406.75
3/20/2020,1.71,0.006666730159334851,256.5
3/23/2020,-1.09,0.010048045431120508,-108.48
3/24/2020,8.93,0.01127656242228762,791.91
3/25/2020,1.74,0.012405872119417011,140.26
3/26/2020,0.73,0.013583132008664634,53.74
3/27/2020,-3.15,0.015102657062342394,-208.57
3/30/2020,0.3,0.019165195753187068,15.65
3/31/2020,1.06,0.020549137505013273,51.58
4/1/2020,-2.97,0.02175119921777033,-136.54
4/2/2020,1.75,0.023007824942248126,76.06
4/3/2020,-2.67,0.024274371396129698,-109.99
4/6/2020,3.1,0.027320035323087737,113.47
4/7/2020,3.08,0.028318722083067457,108.76
4/8/2020,-0.18,0.029214894639208205,-6.16
4/9/2020,1.39,0.030223502128591703,45.99
4/14/2020,-0.36,0.03483333439154447,-10.33
4/15/2020,-4.78,0.03578903132410785,-133.56
