Date,Market value,Death,Ratio
2/27/2020,-3.75,0.0,
2/28/2020,-3.68,0.0,
3/2/2020,0.52,0.0,
3/3/2020,1.48,0.0,
3/4/2020,1.36,0.0,
3/5/2020,-0.93,0.0,
3/6/2020,-3.85,5.838635300739346e-06,-659400.66
3/9/2020,-7.65,1.7515905902218038e-05,-436745.9
3/10/2020,-1.21,2.3354541202957385e-05,-51810.05
3/11/2020,-0.11,2.9193176503696732e-05,-3768.0
3/12/2020,-10.75,2.9193176503696732e-05,-368236.74
3/13/2020,0.17,5.8386353007393465e-05,2911.64
3/16/2020,-3.71,0.0001401272472177443,-26475.94
3/17/2020,1.8,0.00025106131793179186,7169.56
3/18/2020,-4.75,0.0003386408474428821,-14026.66
3/19/2020,4.62,0.0004495749181569296,10276.37
3/20/2020,2.18,0.00062473397717911,3489.49
3/23/2020,-1.91,0.00124946795435822,-1528.65
3/24/2020,8.97,0.0016173019783047987,5546.27
3/25/2020,2.96,0.0020843928023639466,1420.08
3/26/2020,1.6,0.0025398063558216156,629.97
3/27/2020,-3.74,0.0031937335095044224,-1171.04
3/30/2020,2.38,0.005050419535139535,471.25
3/31/2020,1.57,0.00607218071276892,258.56
4/1/2020,-2.51,0.006860396478368731,-365.87
4/2/2020,1.48,0.007829609938291465,189.03
4/3/2020,-1.43,0.008699566598101626,-164.38
4/6/2020,3.89,0.010941602553585535,355.52
4/7/2020,2.05,0.012307843213958542,166.56
4/8/2020,0.17,0.013166122603167227,12.91
4/9/2020,1.46,0.01403024062767665,104.06
