Date,Market value,Death,Ratio
3/2/2020,1.06,0.0,
3/3/2020,1.53,0.0,
3/4/2020,1.59,0.0,
3/5/2020,-2.2,0.0,
3/6/2020,-3.85,0.0,
3/9/2020,-8.66,0.0,
3/10/2020,-0.69,0.0,
3/11/2020,-0.47,0.0,
3/12/2020,-9.76,0.0,
3/13/2020,0.83,0.0,
3/16/2020,-4.36,0.0,
3/17/2020,4.49,9.801451026412852e-06,458095.44
3/18/2020,-5.03,1.9602902052825705e-05,-256594.66
3/19/2020,-1.26,2.9404353079238554e-05,-42850.8
3/20/2020,2.06,5.880870615847711e-05,35028.83
3/23/2020,-1.91,0.00022543337360749562,-8472.57
3/24/2020,7.82,0.0003234478838716241,24177.0
3/25/2020,1.91,0.0004214623941357526,4531.84
3/26/2020,1.47,0.0005880870615847711,2499.63
3/27/2020,-1.76,0.0007449102780073768,-2362.7
3/30/2020,1.02,0.0013722031436977993,743.33
3/31/2020,2.17,0.0015682321642260563,1383.72
4/1/2020,-1.89,0.0018328713419392035,-1031.17
4/2/2020,0.02,0.002048503264520286,9.76
4/3/2020,-0.52,0.0024111569524975615,-215.66
4/6/2020,1.16,0.0030482512692143974,380.55
4/7/2020,1.27,0.003381500604112434,375.57
4/8/2020,0.05,0.003724551390036884,13.42
4/9/2020,3.07,0.004008793469802856,765.82
4/14/2020,0.83,0.005557422731976088,149.35
4/15/2020,-2.2,0.0058710691648212986,-374.72
4/16/2020,-0.75,0.006165112695613684,-121.65
4/17/2020,1.59,0.0064395533243532446,246.91
4/20/2020,-1.02,0.007204066504413446,-141.59
4/21/2020,-2.27,0.007468705682126594,-303.93
4/22/2020,1.6,0.007694139055734088,207.95
4/23/2020,1.18,0.008037189841658538,146.82
