Date,Market value,Death,Ratio
3/9/2020,-7.53,0.0,
3/10/2020,-0.14,0.0,
3/11/2020,-3.91,0.0,
3/12/2020,-5.15,0.0,
3/13/2020,-0.85,0.0,
3/16/2020,-9.58,0.0,
3/17/2020,6.11,0.0,
3/18/2020,-3.56,0.0,
3/19/2020,1.26,0.0,
3/20/2020,-0.5,0.0,
3/23/2020,-4.2,3.6339603143500265e-05,-115576.39
3/24/2020,6.15,5.7105090654071844e-05,107696.18
3/25/2020,1.99,8.825332191992921e-05,22548.73
3/26/2020,0.02,0.00011940155318578658,167.5
3/27/2020,-1.23,0.00013497566881871527,-9112.75
3/30/2020,-0.61,0.0003374391720467882,-1807.73
3/31/2020,1.9,0.0004256924939667174,4463.32
4/1/2020,-2.62,0.00047760621274314634,-5485.69
4/2/2020,1.66,0.0005970077659289329,2780.53
4/3/2020,-0.31,0.0006904524597265051,-448.98
4/6/2020,2.4,0.0009136814504651495,2626.74
4/7/2020,4.07,0.0010227002598956504,3979.66
4/8/2020,-0.25,0.001142101813081437,-218.89
4/9/2020,1.62,0.001287460225655438,1258.29
4/10/2020,2.71,0.0014016704069635818,1933.41
4/13/2020,-0.57,0.001718344091499798,-331.71
4/14/2020,-0.08,0.001822171529052656,-43.9
4/15/2020,-4.0,0.001931190338483157,-2071.26
4/16/2020,-0.36,0.002035017776036015,-176.9
