Date,Market value,Death,Ratio
3/9/2020,-2.08,0.0,
3/10/2020,-0.97,0.0,
3/11/2020,-0.67,0.0,
3/12/2020,-3.47,0.0,
3/13/2020,-1.64,0.0,
3/16/2020,-2.31,0.0,
3/17/2020,-6.0,0.0,
3/18/2020,-0.52,0.0,
3/19/2020,-4.87,0.0,
3/20/2020,1.51,1.1436036873442412e-05,132038.75
3/23/2020,-3.73,3.4308110620327234e-05,-108720.65
3/24/2020,1.6,3.4308110620327234e-05,46636.2
3/25/2020,2.19,4.574414749376965e-05,47874.98
3/26/2020,1.4,1.1436036873442412e-05,122420.03
3/27/2020,-0.16,1.1436036873442412e-05,-13990.86
3/30/2020,-0.23,0.0001829765899750786,-1256.99
3/31/2020,0.06,0.0001829765899750786,327.91
4/1/2020,3.53,0.0003202090324563875,11024.05
4/2/2020,-2.12,0.00035451714307671475,-5979.96
4/3/2020,0.04,0.00044600543806425406,89.69
4/6/2020,2.93,0.0006632901386596599,4417.37
4/7/2020,1.22,0.0006975982492799871,1748.86
4/8/2020,1.9,0.0007433423967737568,2556.02
4/9/2020,0.15,0.0007547784336471992,198.73
4/10/2020,-0.48,0.0008119586180144112,-591.16
4/13/2020,1.46,0.000972063134242605,1501.96
4/14/2020,0.38,0.0010749874661035866,353.49
4/15/2020,-0.64,0.0011321676504707989,-565.29
4/16/2020,-0.19,0.0011779117979645684,-161.3
4/21/2020,0.12,0.0014866847935475136,80.72
4/22/2020,-1.16,0.001532428941041283,-756.97
4/23/2020,-0.46,0.001589609125408495,-289.38
4/24/2020,-0.46,0.001646789309775707,-279.33
4/27/2020,0.07,0.0018526379734976708,37.78
