Date,Market value,Death,Ratio
2/17/2020,-0.06,0.0,
2/18/2020,-1.48,0.0,
2/19/2020,0.07,0.0,
2/20/2020,-0.67,1.9508238280255157e-06,-343444.65
2/21/2020,-1.49,3.901647656051031e-06,-381889.94
2/24/2020,-3.87,1.5606590624204125e-05,-247972.16
2/25/2020,1.18,1.9508238280255157e-05,60487.27
2/26/2020,-1.28,2.3409885936306188e-05,-54677.75
2/27/2020,-1.05,2.5360709764331704e-05,-41402.63
2/28/2020,-3.3,2.5360709764331704e-05,-130122.54
3/2/2020,0.78,5.462306718471444e-05,14279.68
3/3/2020,0.58,5.462306718471444e-05,10618.22
3/4/2020,2.24,6.827883398089304e-05,32806.65
3/5/2020,1.26,6.827883398089304e-05,18453.74
3/6/2020,-2.16,8.193460077707165e-05,-26362.49
3/9/2020,-4.19,0.00010339366288535231,-40524.73
3/10/2020,0.42,0.00010534448671337784,3986.92
3/11/2020,-2.78,0.00011704942968153094,-23750.65
3/12/2020,-3.87,0.00012875437264968403,-30057.23
3/13/2020,-3.43,0.00012875437264968403,-26639.87
