Date,Market value,Death,Ratio
2/25/2020,-1.62,0.0,
2/26/2020,0.73,0.0,
2/27/2020,-3.4,0.0,
2/28/2020,-3.06,0.0,
3/2/2020,0.62,0.0,
3/3/2020,0.92,0.0,
3/4/2020,0.57,0.0,
3/5/2020,-1.23,0.0,
3/6/2020,-3.22,0.0,
3/9/2020,-5.31,0.0,
3/10/2020,-0.56,0.0,
3/11/2020,-1.42,9.914211337872258e-06,-143228.74
3/12/2020,-10.57,9.914211337872258e-06,-1066146.33
3/13/2020,1.8,9.914211337872258e-06,181557.56
3/16/2020,-3.44,5.948526802723355e-05,-57829.44
3/17/2020,3.28,6.93994793651058e-05,47262.6
3/18/2020,-2.59,9.914211337872257e-05,-26124.12
3/19/2020,3.24,0.00010905632471659483,29709.42
3/20/2020,-1.81,0.00015862738140595613,-11410.39
3/23/2020,-4.67,0.00024785528344680645,-18841.64
3/24/2020,7.09,0.00035691160816340127,19864.86
3/25/2020,4.53,0.00061468110294808,7369.68
3/26/2020,1.68,0.0007633942730161639,2200.7
3/27/2020,-3.51,0.0010409921904765871,-3371.78
3/30/2020,2.11,0.0014474748553293497,1457.71
3/31/2020,2.29,0.0017845580408170061,1283.23
4/1/2020,-3.81,0.0023694965097514693,-1607.94
4/2/2020,0.08,0.0030535770920646554,26.2
4/3/2020,-1.58,0.0035492876589582685,-445.16
4/6/2020,4.03,0.004729078808165066,852.17
4/7/2020,3.4,0.005859298900682504,580.27
4/8/2020,-0.75,0.006811063189118241,-110.11
4/9/2020,-0.05,0.0078619695909327,-6.36
4/14/2020,2.47,0.010241380312022041,241.18
4/15/2020,-3.6,0.011926796239460325,-301.84
4/16/2020,0.22,0.01321564371338372,16.65
4/17/2020,3.42,0.01387989587302116,246.4
4/20/2020,0.43,0.015664453913838167,27.45
4/21/2020,-3.1,0.017498583011344535,-177.16
4/22/2020,2.29,0.019203827361458564,119.25
4/23/2020,0.93,0.02003662111383983,46.42
4/24/2020,-1.8,0.021335382799101098,-84.37
4/27/2020,1.68,0.022544916582321516,74.52
4/28/2020,1.88,0.023347967700689167,80.52
4/29/2020,2.06,0.0244087883138415,84.4
4/30/2020,-1.43,0.025638150519737658,-55.78
