Date,Market value,Death,Ratio
2/26/2020,0.32,0.0,
2/27/2020,-2.92,0.0,
2/28/2020,-3.67,0.0,
3/2/2020,1.22,0.0,
3/3/2020,1.37,0.0,
3/4/2020,1.63,0.0,
3/5/2020,-1.05,1.1571682057389527e-05,-90738.75
3/6/2020,-4.01,1.1571682057389527e-05,-346535.62
3/9/2020,-5.55,2.3143364114779054e-05,-239809.56
3/10/2020,-0.01,3.471504617216858e-05,-288.06
3/11/2020,-0.47,4.628672822955811e-05,-10154.1
3/12/2020,-9.64,4.628672822955811e-05,-208267.04
3/13/2020,1.17,0.00012728850263128477,9191.72
3/16/2020,-1.68,0.00016200354880345337,-10370.14
3/17/2020,3.23,0.0003124354155495172,10338.14
3/18/2020,-1.82,0.00032400709760690673,-5617.16
3/19/2020,5.32,0.0004744389643529705,11213.24
3/20/2020,-1.8,0.0006248708310990345,-2880.6
3/23/2020,-5.37,0.001388601846886743,-3867.2
3/24/2020,7.02,0.001411745211001522,4972.57
3/25/2020,2.93,0.0017704673547805974,1654.93
3/26/2020,2.39,0.0022101912729613994,1081.35
3/27/2020,-2.26,0.0026730585552569804,-845.47
3/30/2020,1.98,0.00415423385860284,476.62
3/31/2020,1.5,0.005010538330849665,299.37
4/1/2020,-1.54,0.005646980844006088,-272.71
4/2/2020,1.11,0.006202421582760786,178.96
4/3/2020,-0.31,0.00683886409591721,-45.33
4/6/2020,2.38,0.008852336773902987,268.86
4/7/2020,0.55,0.0095003509691168,57.89
