Date,Market value,Death,Ratio
2/6/2020,0.3,0.0,
2/7/2020,-0.51,0.0,
2/10/2020,-0.27,0.0,
2/11/2020,0.71,0.0,
2/12/2020,0.47,0.0,
2/13/2020,-1.09,0.0,
2/14/2020,-0.58,0.0,
2/17/2020,0.33,0.0,
2/18/2020,-0.69,0.0,
2/19/2020,1.02,0.0,
2/20/2020,-0.27,0.0,
2/21/2020,-0.44,0.0,
2/24/2020,-3.34,0.0,
2/25/2020,-1.94,0.0,
2/26/2020,0.35,0.0,
2/27/2020,-3.49,0.0,
2/28/2020,-3.18,0.0,
3/2/2020,1.13,0.0,
3/3/2020,0.95,0.0,
3/4/2020,1.45,0.0,
3/5/2020,-1.62,0.0,
3/6/2020,-3.62,1.474619628502616e-06,-2454870.35
3/9/2020,-7.69,4.423858885507848e-06,-1738301.38
3/10/2020,-0.09,1.0322337399518313e-05,-8718.96
3/11/2020,-1.4,1.0322337399518313e-05,-135628.2
3/12/2020,-10.87,1.3271576656523544e-05,-819043.61
3/13/2020,2.46,1.4746196285026162e-05,166822.68
3/16/2020,-4.01,9.732489548117267e-05,-41202.2
3/17/2020,2.79,0.00012091880953721451,23073.33
3/18/2020,-4.05,0.00017105587690630347,-23676.47
3/19/2020,1.4,0.00023446452093191594,5971.05
3/20/2020,0.76,0.00028755082755801015,2643.01
3/23/2020,-3.79,0.0005308630662609418,-7139.32
3/24/2020,9.05,0.0007505813909078316,12057.32
3/25/2020,4.45,0.0010248606418093182,4342.05
3/26/2020,2.24,0.0012961906534537995,1728.14
3/27/2020,-5.25,0.0017149826279485424,-3061.26
3/30/2020,0.97,0.0030170717599163526,321.5
3/31/2020,1.95,0.003581851077632854,544.41
4/1/2020,-3.83,0.00457132084835811,-837.83
4/2/2020,0.47,0.0055327728461418155,84.95
4/3/2020,-1.18,0.0065871258805211864,-179.14
4/6/2020,3.08,0.00950392350569936,324.08
4/7/2020,2.19,0.011034578680085077,198.47
4/8/2020,-0.47,0.012562284615213786,-37.41
4/9/2020,2.9,0.014190264685080674,204.37
4/14/2020,-0.88,0.020784763663744373,-42.34
4/15/2020,-3.34,0.022032291869457588,-151.6
4/16/2020,0.55,0.02355557394570079,23.35
4/17/2020,2.82,0.02493581791797924,113.09
4/20/2020,0.45,0.028153437947371948,15.98
4/21/2020,-2.96,0.029881692151977016,-99.06
4/22/2020,2.3,0.03113069497731873,73.88
4/23/2020,0.97,0.03220569268649714,30.12
4/24/2020,-1.28,0.033699482370170286,-37.98
4/27/2020,1.64,0.036066246873916984,45.47
4/28/2020,1.91,0.03740962535548287,51.06
4/29/2020,2.63,0.03858489719939945,68.16
