"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 05, 2020","1,242.28","1,277.21","1,282.25","1,242.28","50.10M","-2.10%"
"Apr 02, 2020","1,268.93","1,293.24","1,299.59","1,266.52","155.07M","-1.19%"
"Apr 01, 2020","1,284.15","1,291.88","1,304.21","1,275.10","69.90M","-3.42%"
"Mar 31, 2020","1,329.58","1,314.30","1,338.14","1,296.82","112.63M","2.54%"
"Mar 30, 2020","1,296.64","1,281.44","1,296.64","1,267.83","82.57M","2.27%"
"Mar 29, 2020","1,267.85","1,246.12","1,272.79","1,238.86","49.00M","-1.05%"
"Mar 26, 2020","1,281.24","1,241.12","1,287.02","1,226.54","192.09M","3.02%"
"Mar 25, 2020","1,243.70","1,276.78","1,283.41","1,224.63","115.24M","-0.85%"
"Mar 24, 2020","1,254.36","1,218.22","1,264.69","1,211.78","91.47M","7.10%"
"Mar 23, 2020","1,171.21","1,153.12","1,215.66","1,142.16","90.39M","-0.96%"
"Mar 22, 2020","1,182.61","1,181.99","1,189.96","1,170.98","45.34M","-3.88%"
"Mar 19, 2020","1,230.31","1,180.34","1,239.91","1,174.72","98.42M","4.09%"
"Mar 18, 2020","1,181.97","1,212.07","1,222.83","1,181.97","77.04M","-6.70%"
"Mar 17, 2020","1,266.84","1,275.88","1,275.88","1,218.66","91.74M","2.12%"
"Mar 16, 2020","1,240.49","1,234.73","1,240.49","1,187.07","84.32M","-4.33%"
"Mar 15, 2020","1,296.64","1,264.63","1,296.64","1,237.90","48.62M","3.60%"
"Mar 12, 2020","1,251.56","1,241.80","1,260.39","1,201.70","150.65M","-5.18%"
"Mar 11, 2020","1,319.90","1,358.17","1,401.42","1,313.22","103.25M","-3.58%"
"Mar 09, 2020","1,368.87","1,372.75","1,404.84","1,331.70","125.63M","-6.53%"
"Mar 08, 2020","1,464.57","1,476.01","1,491.47","1,433.94","87.63M","-4.78%"
"Mar 05, 2020","1,538.09","1,565.98","1,568.96","1,525.60","124.96M","-1.76%"
"Mar 04, 2020","1,565.65","1,591.87","1,593.54","1,553.55","62.59M","-2.08%"
"Mar 03, 2020","1,598.85","1,624.96","1,627.93","1,595.74","63.55M","1.01%"
"Mar 01, 2020","1,582.90","1,593.26","1,599.84","1,567.82","45.35M","-1.18%"
"Feb 27, 2020","1,601.81","1,659.44","1,660.04","1,601.81","95.39M","-4.54%"
"Feb 26, 2020","1,678.02","1,658.00","1,688.28","1,643.64","65.15M","0.25%"
