"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 16, 2020","7,935.06","7,964.04","8,073.75","7,932.87","26.50M","-0.36%"
"Apr 15, 2020","7,964.04","8,296.19","8,336.95","7,964.04","22.26M","-4.00%"
"Apr 14, 2020","8,296.19","8,302.45","8,418.71","8,296.19","18.10M","-0.08%"
"Apr 13, 2020","8,302.45","8,349.93","8,401.45","8,251.63","14.44M","-0.57%"
"Apr 10, 2020","8,349.93","8,129.50","8,349.93","8,129.09","18.04M","2.71%"
"Apr 09, 2020","8,129.50","8,000.10","8,204.22","8,000.10","37.04M","1.62%"
"Apr 08, 2020","8,000.10","8,020.15","8,026.51","7,929.53","17.43M","-0.25%"
"Apr 07, 2020","8,020.15","7,706.49","8,094.81","7,706.49","38.88M","4.07%"
"Apr 06, 2020","7,706.49","7,525.60","7,713.32","7,525.60","18.79M","2.40%"
"Apr 03, 2020","7,525.60","7,548.64","7,593.83","7,516.19","44.94M","-0.31%"
"Apr 02, 2020","7,548.64","7,425.44","7,566.19","7,425.44","42.90M","1.66%"
"Apr 01, 2020","7,425.44","7,625.38","7,625.38","7,408.16","21.38M","-2.62%"
"Mar 31, 2020","7,625.38","7,483.17","7,677.22","7,483.17","15.64M","1.90%"
"Mar 30, 2020","7,483.17","7,528.93","7,539.33","7,414.22","12.69M","-0.61%"
"Mar 27, 2020","7,528.93","7,622.75","7,695.45","7,471.09","17.80M","-1.23%"
"Mar 26, 2020","7,622.75","7,621.00","7,658.92","7,566.98","23.85M","0.02%"
"Mar 25, 2020","7,621.00","7,472.17","7,775.37","7,459.42","33.79M","1.99%"
"Mar 24, 2020","7,472.17","7,038.95","7,479.58","7,038.95","28.66M","6.15%"
"Mar 23, 2020","7,038.95","7,347.75","7,347.75","6,936.37","32.88M","-4.20%"
"Mar 20, 2020","7,347.75","7,384.75","7,645.28","7,308.82","35.05M","-0.50%"
"Mar 19, 2020","7,384.75","7,292.72","7,422.39","7,203.25","31.95M","1.26%"
"Mar 18, 2020","7,292.72","7,561.99","7,561.99","7,098.76","39.69M","-3.56%"
"Mar 17, 2020","7,561.99","7,126.73","7,561.99","7,046.52","43.39M","6.11%"
"Mar 16, 2020","7,126.73","7,882.19","7,883.48","7,016.58","42.02M","-9.58%"
"Mar 13, 2020","7,882.19","7,950.02","8,219.46","7,859.59","36.17M","-0.85%"
"Mar 12, 2020","7,950.02","8,381.47","8,381.47","7,623.04","72.27M","-5.15%"
"Mar 11, 2020","8,381.47","8,722.11","8,744.03","8,364.09","43.60M","-3.91%"
"Mar 10, 2020","8,722.11","8,733.96","8,991.57","8,719.32","26.93M","-0.14%"
"Mar 09, 2020","8,733.96","9,445.03","9,445.03","8,503.45","78.18M","-7.53%"
