Date,Price,Open,High,Low,Vol.,Change %
9-Mar-20,913.47,962.79,962.79,901.42,-,-5.13%
10-Mar-20,912.76,912.8,944.39,912.67,-,-0.08%
11-Mar-20,885.1,912.9,926.29,884.6,-,-3.03%
12-Mar-20,815.74,884.67,884.67,810.82,-,-7.84%
13-Mar-20,825.15,818.36,857.43,807.57,-,1.15%
16-Mar-20,761.12,825.15,825.15,743.33,-,-7.76%
17-Mar-20,738.23,758.84,774.64,723.62,-,-3.01%
18-Mar-20,690.37,738.23,738.23,690.37,-,-6.48%
19-Mar-20,709.15,690.47,721.9,690.47,-,2.72%
20-Mar-20,738.8,712.15,755.63,712.11,-,4.18%
23-Mar-20,738.28,738.36,747.39,719.27,-,-0.07%
24-Mar-20,794.74,738.56,800.39,737.1,-,7.65%
25-Mar-20,807.65,796.2,859.12,796.2,-,1.62%
26-Mar-20,801.57,807.31,810.36,792.02,-,-0.75%
27-Mar-20,781.23,801.57,803.97,772.3,-,-2.54%
30-Mar-20,770.44,781.23,781.23,757.5,-,-1.38%
31-Mar-20,789.88,770.44,799.89,770.44,-,2.52%
1-Apr-20,770.67,789.82,790.73,767.27,-,-2.43%
2-Apr-20,780.85,770.49,782.02,770.14,-,1.32%
3-Apr-20,774.34,781.74,785.09,769.34,-,-0.83%
6-Apr-20,807.95,774.34,807.96,774.34,-,4.34%
7-Apr-20,820.33,809.75,836.75,809.75,-,1.53%
8-Apr-20,827.66,821.44,827.66,797.43,-,0.89%
9-Apr-20,840.08,828.96,846.03,828.96,-,1.50%
14-Apr-20,851.56,840.79,856.3,840.79,-,1.37%
15-Apr-20,825.11,852.46,859.38,824.49,-,-3.11%
16-Apr-20,844.46,828.86,856.5,828.59,-,2.35%
17-Apr-20,851.36,844.91,865.16,844.91,-,0.82%
20-Apr-20,846.68,851.18,857.61,842.4,-,-0.55%
21-Apr-20,830.16,846.55,846.55,824.47,-,-1.95%
22-Apr-20,834.31,831.64,838.78,831.24,-,0.50%
23-Apr-20,855.19,833.88,856.09,833.88,-,2.50%
24-Apr-20,851.91,855.63,857.34,843.94,-,-0.38%
27-Apr-20,859.33,851.88,865.12,851.88,-,0.87%
28-Apr-20,867.16,859.77,869.03,853.6,-,0.91%
29-Apr-20,883.95,867.39,885.36,865.21,-,1.94%
30-Apr-20,873.17,884.07,896.47,872.39,-,-1.22%
4-May-20,862.95,873.27,873.27,853.46,-,-1.17%
5-May-20,876.32,866.63,879.18,866.63,-,1.55%
6-May-20,872.71,876.13,880.84,866.61,-,-0.41%
7-May-20,881.34,872.52,883.16,872.52,-,0.99%
