"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 24, 2020","1,163.79","1,161.44","1,166.83","1,157.89","18.67M","-0.91%"
"Apr 23, 2020","1,174.49","1,159.68","1,177.91","1,153.49","14.99M","1.41%"
"Apr 22, 2020","1,158.18","1,152.92","1,158.99","1,151.16","15.31M","0.35%"
"Apr 21, 2020","1,154.18","1,162.43","1,162.55","1,148.96","17.23M","-0.71%"
"Apr 20, 2020","1,162.47","1,150.74","1,163.12","1,147.02","16.49M","1.54%"
"Apr 17, 2020","1,144.82","1,140.41","1,144.82","1,131.59","20.84M","2.14%"
"Apr 16, 2020","1,120.88","1,107.74","1,126.55","1,103.51","19.99M","1.65%"
"Apr 15, 2020","1,102.68","1,114.46","1,118.39","1,098.61","19.58M","-0.67%"
"Apr 14, 2020","1,110.11","1,098.88","1,110.24","1,091.68","22.98M","1.96%"
"Apr 08, 2020","1,088.72","1,090.20","1,093.56","1,076.64","16.13M","-0.68%"
"Apr 07, 2020","1,096.14","1,108.55","1,115.23","1,091.08","24.96M","0.45%"
"Apr 06, 2020","1,091.19","1,105.63","1,107.17","1,084.49","17.23M","0.80%"
"Apr 03, 2020","1,082.55","1,064.52","1,082.55","1,055.57","18.23M","1.66%"
"Apr 02, 2020","1,064.83","1,069.25","1,076.41","1,046.00","19.15M","-0.86%"
"Apr 01, 2020","1,074.05","1,059.81","1,074.54","1,050.32","18.09M","0.03%"
"Mar 31, 2020","1,073.74","1,084.47","1,092.27","1,066.92","25.02M","1.68%"
"Mar 30, 2020","1,055.97","1,029.76","1,056.73","1,008.42","18.94M","3.57%"
"Mar 27, 2020","1,019.60","1,016.77","1,024.12","1,007.89","19.52M","-0.80%"
"Mar 26, 2020","1,027.87","993.53","1,027.88","989.53","22.66M","3.50%"
"Mar 25, 2020","993.08","1,000.05","1,016.46","977.08","27.31M","2.43%"
"Mar 24, 2020","969.53","971.13","979.12","952.48","25.48M","3.17%"
"Mar 23, 2020","939.76","931.88","967.39","930.72","29.79M","-3.40%"
"Mar 20, 2020","972.81","1,001.75","1,006.67","966.80","37.77M","0.72%"
"Mar 19, 2020","965.86","958.08","971.69","948.08","32.96M","0.94%"
"Mar 18, 2020","956.89","958.28","970.67","939.43","34.28M","-2.26%"
"Mar 17, 2020","978.98","986.04","992.62","938.01","34.48M","1.50%"
"Mar 16, 2020","964.47","942.28","973.33","900.29","38.73M","-1.55%"
"Mar 13, 2020","979.67","992.96","1,051.59","970.24","37.74M","0.84%"
"Mar 12, 2020","971.51","985.23","1,016.17","969.19","35.68M","-7.52%"
"Mar 11, 2020","1,050.54","1,077.38","1,086.14","1,046.03","24.07M","-1.80%"
"Mar 10, 2020","1,069.75","1,089.38","1,117.23","1,061.28","27.32M","-1.46%"
"Mar 09, 2020","1,085.60","1,071.78","1,107.16","1,068.51","32.00M","-4.91%"
"Mar 06, 2020","1,141.62","1,157.66","1,160.44","1,127.50","18.55M","-2.96%"
"Mar 05, 2020","1,176.41","1,199.19","1,204.47","1,171.63","16.08M","-0.76%"
"Mar 04, 2020","1,185.43","1,172.31","1,191.83","1,166.44","17.06M","0.97%"
"Mar 03, 2020","1,174.03","1,161.60","1,181.92","1,153.00","19.78M","3.17%"
"Mar 02, 2020","1,137.93","1,148.38","1,166.97","1,124.40","21.51M","1.23%"
