Date,Price,Open,High,Low,Vol.,Change %
13-Mar-20,209.09,209.09,209.09,209.09,-,1.11%
16-Mar-20,209.09,209.09,209.09,209.09,-,0.00%
17-Mar-20,209.09,209.09,209.09,209.09,-,0.00%
18-Mar-20,208.9,208.9,208.9,208.9,-,-0.09%
19-Mar-20,209.09,209.09,209.09,209.09,-,0.09%
20-Mar-20,209.09,209.09,209.09,209.09,-,0.00%
23-Mar-20,209.09,209.09,209.09,209.09,-,0.00%
24-Mar-20,208.71,208.71,208.71,208.71,-,-0.18%
25-Mar-20,208.71,208.71,208.71,208.71,-,0.00%
26-Mar-20,208.71,208.71,208.71,208.71,-,0.00%
27-Mar-20,208.71,208.71,208.71,208.71,-,0.00%
30-Mar-20,208.71,208.71,208.71,208.71,-,0.00%
31-Mar-20,208.71,208.71,208.71,208.71,-,0.00%
1-Apr-20,208.71,208.71,208.71,208.71,-,0.00%
2-Apr-20,208.71,208.71,208.71,208.71,-,0.00%
3-Apr-20,207.76,207.76,207.76,207.76,-,-0.46%
6-Apr-20,207.76,207.76,207.76,207.76,-,0.00%
7-Apr-20,207.76,207.76,207.76,207.76,-,0.00%
8-Apr-20,207.55,207.55,207.55,207.55,-,-0.10%
9-Apr-20,207.55,207.55,207.55,207.55,-,0.00%
13-Apr-20,207.55,207.55,207.55,207.55,-,0.00%
14-Apr-20,206.03,206.03,206.03,206.03,-,-0.73%
15-Apr-20,206.03,206.03,206.03,206.03,-,0.00%
16-Apr-20,206.6,206.6,206.6,206.6,-,0.28%
17-Apr-20,206.6,206.6,206.6,206.6,-,0.00%
20-Apr-20,206.6,206.6,206.6,206.6,-,0.00%
21-Apr-20,206.6,206.6,206.6,206.6,-,0.00%
22-Apr-20,206.58,206.58,206.58,206.58,-,-0.01%
23-Apr-20,206.58,206.58,206.58,206.58,-,0.00%
24-Apr-20,206.01,206.01,206.01,206.01,-,-0.28%
