Date,Price,Open,High,Low,Vol.,Change %
2-Mar-20,"6,387.52","6,394.19","6,528.10","6,297.61",49.69M,-0.15%
3-Mar-20,"6,486.69","6,389.11","6,608.46","6,389.11",55.14M,1.55%
4-Mar-20,"6,538.60","6,487.15","6,578.87","6,486.51",41.56M,0.80%
5-Mar-20,"6,447.68","6,548.13","6,599.04","6,398.94",53.47M,-1.39%
6-Mar-20,"6,266.53","6,401.95","6,401.95","6,187.59",104.30M,-2.81%
9-Mar-20,"5,864.70","6,264.73","6,265.11","5,848.42",46.28M,-6.41%
10-Mar-20,"5,826.65","5,870.50","6,113.94","5,787.53",51.59M,-0.65%
11-Mar-20,"5,691.44","5,825.98","5,944.86","5,687.43",45.68M,-2.32%
12-Mar-20,"5,125.94","5,689.97","5,689.97","5,081.45",75.19M,-9.94%
13-Mar-20,"5,148.43","5,126.90","5,481.01","5,099.53",60.90M,0.44%
16-Mar-20,"4,740.39","5,147.15","5,147.15","4,507.97",63.16M,-7.93%
17-Mar-20,"4,731.85","4,740.55","4,860.80","4,500.72",61.60M,-0.18%
18-Mar-20,"4,366.53","4,731.28","4,731.28","4,300.22",71.01M,-7.72%
19-Mar-20,"4,432.01","4,368.20","4,465.53","4,273.04",56.94M,1.50%
20-Mar-20,"4,603.87","4,433.15","4,783.84","4,433.15",92.54M,3.88%
23-Mar-20,"4,470.97","4,597.93","4,597.93","4,249.92",63.19M,-2.89%
24-Mar-20,"4,781.29","4,486.12","4,781.29","4,486.12",57.20M,6.94%
25-Mar-20,"4,970.21","4,787.96","5,080.12","4,775.70",57.41M,3.95%
26-Mar-20,"5,196.71","4,970.05","5,196.71","4,886.30",43.95M,4.56%
27-Mar-20,"4,916.40","5,176.90","5,176.90","4,887.48",39.40M,-5.39%
30-Mar-20,"4,943.36","4,915.60","4,959.16","4,753.04",36.52M,0.55%
31-Mar-20,"5,153.65","4,966.96","5,153.65","4,966.96",103.08M,4.25%
1-Apr-20,"4,990.98","5,138.91","5,138.91","4,938.41",45.69M,-3.16%
2-Apr-20,"4,880.11","4,993.14","5,024.12","4,864.21",40.82M,-2.22%
3-Apr-20,"4,784.67","4,877.79","4,902.48","4,771.78",77.71M,-1.96%
6-Apr-20,"5,017.09","4,787.89","5,022.83","4,787.89",37.13M,4.86%
7-Apr-20,"5,115.00","5,017.73","5,260.42","5,017.73",50.75M,1.95%
8-Apr-20,"5,109.84","5,115.03","5,125.50","5,041.56",36.17M,-0.10%
9-Apr-20,"5,289.18","5,109.84","5,314.17","5,109.84",46.73M,3.51%
14-Apr-20,"5,183.34","5,304.74","5,317.14","5,160.47",46.01M,-2.00%
15-Apr-20,"4,970.39","5,183.57","5,183.57","4,966.54",57.18M,-4.11%
16-Apr-20,"5,082.99","4,971.13","5,113.91","4,971.13",69.04M,2.27%
17-Apr-20,"5,277.52","5,093.99","5,321.93","5,093.99",42.64M,3.83%
20-Apr-20,"5,235.49","5,277.52","5,330.79","5,218.59",47.45M,-0.80%
21-Apr-20,"5,120.60","5,234.49","5,234.49","5,113.73",30.36M,-2.19%
22-Apr-20,"5,232.33","5,120.74","5,264.34","5,120.74",42.80M,2.18%
23-Apr-20,"5,262.61","5,239.84","5,275.76","5,190.22",53.36M,0.58%
24-Apr-20,"5,294.95","5,263.34","5,354.23","5,192.18",34.56M,0.61%
27-Apr-20,"5,393.27","5,295.53","5,442.32","5,295.53",28.58M,1.86%
28-Apr-20,"5,481.11","5,398.52","5,507.08","5,387.48",36.48M,1.63%
29-Apr-20,"5,687.36","5,480.94","5,693.19","5,480.07",43.40M,3.76%
30-Apr-20,"5,603.00","5,708.82","5,805.20","5,572.79",39.63M,-1.48%
4-May-20,"5,386.49","5,602.75","5,602.75","5,379.15",38.87M,-3.86%
5-May-20,"5,379.69","5,386.56","5,484.39","5,371.81",35.36M,-0.13%
6-May-20,"5,308.81","5,384.14","5,399.99","5,298.04",33.90M,-1.32%
