Date,Price,Open,High,Low,Vol.,Change %
18-Feb-20,"25,223.51","24,985.71","25,389.46","24,969.75",737.04M,0.41%
19-Feb-20,"25,477.55","25,352.69","25,483.05","25,271.72",464.70M,1.01%
20-Feb-20,"25,080.16","25,414.77","25,419.96","25,080.16",445.15M,-1.56%
21-Feb-20,"24,773.15","24,979.32","25,129.98","24,670.24",638.71M,-1.22%
24-Feb-20,"23,427.19","23,918.60","24,005.21","23,255.26",977.13M,-5.43%
25-Feb-20,"23,090.44","23,585.59","23,630.43","23,046.19",664.95M,-1.44%
26-Feb-20,"23,422.54","22,961.01","23,599.85","22,637.93",737.76M,1.44%
27-Feb-20,"22,799.37","22,968.63","23,077.82","22,479.60",781.15M,-2.66%
28-Feb-20,"21,984.21","22,058.99","22,334.72","21,697.94",1.05B,-3.58%
2-Mar-20,"21,655.09","22,333.17","22,361.13","21,118.83",924.41M,-1.50%
3-Mar-20,"21,748.20","22,116.28","22,340.46","21,651.36",799.97M,0.43%
4-Mar-20,"21,946.03","21,739.80","22,204.01","21,499.93",724.37M,0.91%
5-Mar-20,"21,554.88","22,011.67","22,034.94","21,362.09",772.85M,-1.78%
6-Mar-20,"20,799.89","20,986.89","21,151.36","20,624.42",864.92M,-3.50%
9-Mar-20,"18,475.91","20,780.87","20,780.87","18,346.40",1.27B,-11.17%
10-Mar-20,"17,870.18","18,653.90","19,174.77","17,771.88",1.10B,-3.28%
11-Mar-20,"17,928.64","18,171.76","18,410.29","17,674.69",916.16M,0.33%
12-Mar-20,"14,894.44","17,654.04","17,659.86","14,894.44",1.54B,-16.92%
13-Mar-20,"15,954.29","15,108.11","17,545.44","15,106.60",1.27B,7.12%
16-Mar-20,"14,980.34","15,697.47","15,699.27","14,153.09",1.22B,-6.10%
17-Mar-20,"15,314.77","15,420.49","15,809.66","14,695.72",1.04B,2.23%
18-Mar-20,"15,120.48","14,987.65","15,435.09","14,793.87",11.71M,-1.27%
19-Mar-20,"15,466.97","15,433.20","15,843.51","15,038.66",122.68M,2.29%
20-Mar-20,"15,731.85","15,783.03","16,174.55","15,618.70",1.22B,1.71%
23-Mar-20,"15,559.80","15,331.52","15,785.07","15,092.74",7.69M,-1.09%
24-Mar-20,"16,948.60","15,978.51","16,948.60","15,972.90",10.04M,8.93%
25-Mar-20,"17,243.68","17,248.18","17,826.14","16,583.44",4.26M,1.74%
26-Mar-20,"17,369.38","16,867.68","17,369.38","16,836.14",7.43M,0.73%
27-Mar-20,"16,822.59","17,018.99","17,280.72","16,667.07",590.90M,-3.15%
30-Mar-20,"16,872.41","16,862.79","16,923.33","16,314.13",5.52M,0.30%
31-Mar-20,"17,050.94","17,096.96","17,290.71","16,696.29",7.96M,1.06%
1-Apr-20,"16,544.97","16,599.41","16,843.03","16,501.91",7.48M,-2.97%
2-Apr-20,"16,834.03","16,666.09","16,877.06","16,415.20",4.52M,1.75%
3-Apr-20,"16,384.35","16,745.37","16,790.00","16,384.35",547.57M,-2.67%
6-Apr-20,"16,891.65","16,803.80","16,953.13","16,779.76",139.10M,3.10%
7-Apr-20,"17,411.72","17,381.06","17,429.13","17,183.92",679.85M,3.08%
8-Apr-20,"17,380.82","17,215.17","17,405.40","17,196.03",4.99M,-0.18%
9-Apr-20,"17,621.62","17,692.93","17,752.05","17,360.52",553.98M,1.39%
14-Apr-20,"17,558.43","17,827.34","17,829.39","17,508.83",4.10M,-0.36%
15-Apr-20,"16,719.07","17,451.07","17,542.51","16,719.07",3.54M,-4.78%
