Date,Price,Open,High,Low,Vol.,Change %
2-Mar-20,"4,816.12","4,882.59","4,899.95","4,707.24",129.68M,1.06%
3-Mar-20,"4,890.02","4,897.31","4,963.24","4,862.37",116.40M,1.53%
4-Mar-20,"4,967.93","4,914.33","5,002.90","4,897.96",81.73M,1.59%
5-Mar-20,"4,858.80","4,989.77","4,989.77","4,840.83",103.00M,-2.20%
6-Mar-20,"4,671.50","4,748.26","4,766.97","4,649.58",137.39M,-3.85%
9-Mar-20,"4,266.88","4,460.92","4,475.76","4,257.79",196.37M,-8.66%
10-Mar-20,"4,237.23","4,326.43","4,494.22","4,232.89",217.04M,-0.69%
11-Mar-20,"4,217.44","4,297.56","4,339.19","4,195.72",144.25M,-0.47%
12-Mar-20,"3,805.92","4,039.44","4,069.09","3,784.30",200.14M,-9.76%
13-Mar-20,"3,837.38","3,895.57","4,130.94","3,811.39",206.78M,0.83%
16-Mar-20,"3,670.03","3,634.95","3,710.78","3,547.01",175.42M,-4.36%
17-Mar-20,"3,834.87","3,809.42","3,835.05","3,638.58",179.35M,4.49%
18-Mar-20,"3,641.80","3,806.10","3,862.21","3,619.81",161.30M,-5.03%
19-Mar-20,"3,596.08","3,693.95","3,736.91","3,580.21",147.54M,-1.26%
20-Mar-20,"3,670.00","3,699.20","3,766.69","3,658.99",218.18M,2.06%
23-Mar-20,"3,600.00","3,554.70","3,613.67","3,500.02",129.02M,-1.91%
24-Mar-20,"3,881.64","3,718.38","3,881.64","3,694.85",155.36M,7.82%
25-Mar-20,"3,955.62","4,016.76","4,151.94","3,850.65",191.24M,1.91%
26-Mar-20,"4,013.65","3,912.72","4,013.65","3,886.36",107.07M,1.47%
27-Mar-20,"3,942.86","3,968.65","4,014.04","3,897.99",91.63M,-1.76%
30-Mar-20,"3,983.24","3,932.07","3,983.86","3,848.45",83.30M,1.02%
31-Mar-20,"4,069.55","4,021.10","4,098.86","3,988.46",126.09M,2.17%
1-Apr-20,"3,992.69","4,002.41","4,021.16","3,952.20",112.54M,-1.89%
2-Apr-20,"3,993.57","4,020.64","4,046.08","3,950.56",166.46M,0.02%
3-Apr-20,"3,972.71","3,985.95","4,005.75","3,961.43",136.79M,-0.52%
6-Apr-20,"4,018.62","4,028.57","4,044.47","3,971.94",119.24M,1.16%
7-Apr-20,"4,069.46","4,094.35","4,178.21","4,032.04",184.31M,1.27%
8-Apr-20,"4,071.37","4,057.24","4,071.37","4,023.52",106.67M,0.05%
9-Apr-20,"4,196.31","4,109.58","4,215.34","4,109.58",138.77M,3.07%
14-Apr-20,"4,231.03","4,276.18","4,289.24","4,215.67",140.05M,0.83%
15-Apr-20,"4,137.91","4,234.53","4,234.53","4,119.22",161.29M,-2.20%
16-Apr-20,"4,106.81","4,166.55","4,167.29","4,088.07",115.22M,-0.75%
17-Apr-20,"4,172.21","4,186.78","4,197.34","4,150.49",95.00M,1.59%
20-Apr-20,"4,129.50","4,158.40","4,171.74","4,073.33",75.35M,-1.02%
21-Apr-20,"4,035.94","4,097.68","4,100.90","4,035.94",84.66M,-2.27%
22-Apr-20,"4,100.59","4,036.83","4,100.59","4,033.42",61.34M,1.60%
23-Apr-20,"4,148.91","4,131.25","4,162.86","4,117.64",85.59M,1.18%
