Date,Price,Open,High,Low,Vol.,Change %
9-Mar-20,"8,733.96","9,445.03","9,445.03","8,503.45",78.18M,-7.53%
10-Mar-20,"8,722.11","8,733.96","8,991.57","8,719.32",26.93M,-0.14%
11-Mar-20,"8,381.47","8,722.11","8,744.03","8,364.09",43.60M,-3.91%
12-Mar-20,"7,950.02","8,381.47","8,381.47","7,623.04",72.27M,-5.15%
13-Mar-20,"7,882.19","7,950.02","8,219.46","7,859.59",36.17M,-0.85%
16-Mar-20,"7,126.73","7,882.19","7,883.48","7,016.58",42.02M,-9.58%
17-Mar-20,"7,561.99","7,126.73","7,561.99","7,046.52",43.39M,6.11%
18-Mar-20,"7,292.72","7,561.99","7,561.99","7,098.76",39.69M,-3.56%
19-Mar-20,"7,384.75","7,292.72","7,422.39","7,203.25",31.95M,1.26%
20-Mar-20,"7,347.75","7,384.75","7,645.28","7,308.82",35.05M,-0.50%
23-Mar-20,"7,038.95","7,347.75","7,347.75","6,936.37",32.88M,-4.20%
24-Mar-20,"7,472.17","7,038.95","7,479.58","7,038.95",28.66M,6.15%
25-Mar-20,"7,621.00","7,472.17","7,775.37","7,459.42",33.79M,1.99%
26-Mar-20,"7,622.75","7,621.00","7,658.92","7,566.98",23.85M,0.02%
27-Mar-20,"7,528.93","7,622.75","7,695.45","7,471.09",17.80M,-1.23%
30-Mar-20,"7,483.17","7,528.93","7,539.33","7,414.22",12.69M,-0.61%
31-Mar-20,"7,625.38","7,483.17","7,677.22","7,483.17",15.64M,1.90%
1-Apr-20,"7,425.44","7,625.38","7,625.38","7,408.16",21.38M,-2.62%
2-Apr-20,"7,548.64","7,425.44","7,566.19","7,425.44",42.90M,1.66%
3-Apr-20,"7,525.60","7,548.64","7,593.83","7,516.19",44.94M,-0.31%
6-Apr-20,"7,706.49","7,525.60","7,713.32","7,525.60",18.79M,2.40%
7-Apr-20,"8,020.15","7,706.49","8,094.81","7,706.49",38.88M,4.07%
8-Apr-20,"8,000.10","8,020.15","8,026.51","7,929.53",17.43M,-0.25%
9-Apr-20,"8,129.50","8,000.10","8,204.22","8,000.10",37.04M,1.62%
10-Apr-20,"8,349.93","8,129.50","8,349.93","8,129.09",18.04M,2.71%
13-Apr-20,"8,302.45","8,349.93","8,401.45","8,251.63",14.44M,-0.57%
14-Apr-20,"8,296.19","8,302.45","8,418.71","8,296.19",18.10M,-0.08%
15-Apr-20,"7,964.04","8,296.19","8,336.95","7,964.04",22.26M,-4.00%
16-Apr-20,"7,935.06","7,964.04","8,073.75","7,932.87",26.50M,-0.36%
