Date,Price,Open,High,Low,Vol.,Change %
9-Mar-20,764.78,770.8,773.29,761.29,-,-2.08%
10-Mar-20,757.33,762.31,770.03,757.33,-,-0.97%
11-Mar-20,752.28,761.37,767.78,750.79,-,-0.67%
12-Mar-20,726.17,749.14,749.14,719.51,-,-3.47%
13-Mar-20,714.24,716.97,729.62,700.54,-,-1.64%
16-Mar-20,697.77,714.02,714.02,686.99,-,-2.31%
17-Mar-20,655.93,692.42,692.42,638.16,-,-6.00%
18-Mar-20,652.51,654.81,655.81,648.39,-,-0.52%
19-Mar-20,620.73,652.51,652.51,620.73,-,-4.87%
20-Mar-20,630.12,613.07,643.28,605.3,-,1.51%
23-Mar-20,606.62,630.12,630.34,606.62,-,-3.73%
24-Mar-20,616.31,617.39,618.78,614.47,-,1.60%
25-Mar-20,629.8,623.04,632.91,619.67,-,2.19%
26-Mar-20,638.63,631.82,642.57,628.68,-,1.40%
27-Mar-20,637.63,638.57,639.76,635.52,-,-0.16%
30-Mar-20,636.18,638.35,640.79,635.13,-,-0.23%
31-Mar-20,636.53,636.18,637.43,636.18,-,0.06%
1-Apr-20,658.97,636.53,660.59,636.53,-,3.53%
2-Apr-20,645.03,657.12,657.12,641.11,-,-2.12%
3-Apr-20,645.32,643.18,647.4,643.18,-,0.04%
6-Apr-20,664.25,645.07,665.22,645.07,-,2.93%
7-Apr-20,672.38,664.25,674.43,664.25,-,1.22%
8-Apr-20,685.18,673.54,685.18,673.3,-,1.90%
9-Apr-20,686.22,685.41,686.22,685.41,-,0.15%
10-Apr-20,682.94,686.22,686.22,670.78,-,-0.48%
13-Apr-20,692.89,682.94,692.89,682.18,-,1.46%
14-Apr-20,695.52,694.32,698.79,694.32,-,0.38%
15-Apr-20,691.1,695.06,695.06,690.64,-,-0.64%
16-Apr-20,689.82,691.1,693.37,683.99,-,-0.19%
21-Apr-20,690.63,685.89,698.63,685.66,-,0.12%
22-Apr-20,682.64,689.47,689.47,682.17,-,-1.16%
23-Apr-20,679.51,684.49,684.49,679.16,-,-0.46%
24-Apr-20,676.38,679.97,684.14,672.66,-,-0.46%
27-Apr-20,676.83,678.46,678.46,676.14,-,0.07%
