Date,Price,Open,High,Low,Vol.,Change %
17-Feb-20,"2,242.17","2,243.07","2,250.05","2,230.26",458.25M,-0.06%
18-Feb-20,"2,208.88","2,225.98","2,232.93","2,205.21",470.42M,-1.48%
19-Feb-20,"2,210.34","2,222.51","2,226.00","2,191.20",591.16M,0.07%
20-Feb-20,"2,195.50","2,223.55","2,228.18","2,186.72",709.56M,-0.67%
21-Feb-20,"2,162.84","2,165.65","2,184.43","2,160.28",635.47M,-1.49%
24-Feb-20,"2,079.04","2,114.04","2,120.06","2,079.03",948.62M,-3.87%
25-Feb-20,"2,103.61","2,075.55","2,105.49","2,071.50",1.57B,1.18%
26-Feb-20,"2,076.77","2,064.07","2,089.64","2,059.13",810.94M,-1.28%
27-Feb-20,"2,054.89","2,073.87","2,085.40","2,049.15",562.77M,-1.05%
28-Feb-20,"1,987.01","2,020.17","2,031.01","1,980.82",671.55M,-3.30%
2-Mar-20,"2,002.51","1,997.03","2,017.07","1,969.34",528.10M,0.78%
3-Mar-20,"2,014.15","2,051.85","2,051.85","2,009.39",615.69M,0.58%
4-Mar-20,"2,059.33","2,005.81","2,063.59","2,005.81",606.29M,2.24%
5-Mar-20,"2,085.26","2,078.11","2,089.08","2,059.99",675.20M,1.26%
6-Mar-20,"2,040.22","2,053.09","2,062.57","2,032.13",865.59M,-2.16%
9-Mar-20,"1,954.77","1,981.02","1,989.50","1,946.90",666.87M,-4.19%
10-Mar-20,"1,962.93","1,942.85","1,968.17","1,934.72",638.56M,0.42%
11-Mar-20,"1,908.27","1,965.67","1,967.70","1,898.27",679.72M,-2.78%
12-Mar-20,"1,834.33","1,887.97","1,897.23","1,808.56",850.34M,-3.87%
13-Mar-20,"1,771.44","1,722.68","1,809.31","1,680.60",1.04B,-3.43%
