Date,Price,Open,High,Low,Vol.,Change %
26-Feb-20,"10,512.15","10,405.30","10,546.67","10,216.55",114.16M,0.32%
27-Feb-20,"10,205.46","10,456.82","10,461.17","10,094.92",144.74M,-2.92%
28-Feb-20,"9,831.03","10,205.46","10,205.46","9,725.32",183.60M,-3.67%
2-Mar-20,"9,950.83","9,844.27","10,136.62","9,790.42",155.09M,1.22%
3-Mar-20,"10,087.40","9,999.52","10,286.29","9,990.61",139.05M,1.37%
4-Mar-20,"10,251.39","10,128.76","10,296.03","10,072.23",103.47M,1.63%
5-Mar-20,"10,143.57","10,303.76","10,321.42","10,045.10",106.75M,-1.05%
6-Mar-20,"9,736.82","10,139.78","10,142.31","9,652.51",142.81M,-4.01%
9-Mar-20,"9,196.60","9,736.82","9,736.82","9,059.11",223.19M,-5.55%
10-Mar-20,"9,195.93","9,247.64","9,576.04","9,150.54",194.12M,-0.01%
11-Mar-20,"9,152.50","9,256.45","9,373.92","9,130.19",146.25M,-0.47%
12-Mar-20,"8,270.44","9,152.50","9,152.50","8,168.86",265.74M,-9.64%
13-Mar-20,"8,367.56","8,282.51","9,042.54","8,266.48",231.69M,1.17%
16-Mar-20,"8,227.08","8,360.09","8,391.21","7,650.23",203.96M,-1.68%
17-Mar-20,"8,493.04","8,227.08","8,627.48","7,953.53",154.20M,3.23%
18-Mar-20,"8,338.74","8,493.04","8,493.04","8,094.90",211.12M,-1.82%
19-Mar-20,"8,782.24","8,361.09","8,782.24","8,327.86",187.66M,5.32%
20-Mar-20,"8,623.86","8,782.15","9,174.58","8,623.86",255.26M,-1.80%
23-Mar-20,"8,160.79","8,623.86","8,642.42","8,160.79",150.09M,-5.37%
24-Mar-20,"8,733.32","8,187.51","8,733.32","8,187.02",140.99M,7.02%
25-Mar-20,"8,989.16","8,772.02","9,136.83","8,664.44",148.18M,2.93%
26-Mar-20,"9,203.98","8,895.18","9,203.98","8,824.16",125.63M,2.39%
27-Mar-20,"8,996.37","9,174.95","9,192.97","8,868.05",110.30M,-2.26%
30-Mar-20,"9,174.39","9,047.71","9,174.39","8,866.35",94.71M,1.98%
31-Mar-20,"9,311.92","9,184.78","9,370.85","9,155.11",107.29M,1.50%
1-Apr-20,"9,168.98","9,311.92","9,311.92","9,036.73",88.88M,-1.54%
2-Apr-20,"9,270.96","9,212.09","9,318.61","9,075.15",83.44M,1.11%
3-Apr-20,"9,242.44","9,281.33","9,309.87","9,219.10",70.42M,-0.31%
6-Apr-20,"9,462.34","9,259.73","9,522.11","9,259.09",81.88M,2.38%
7-Apr-20,"9,514.60","9,470.48","9,695.84","9,450.75",98.12M,0.55%
