Date,Price,Open,High,Low,Vol.,Change %
6-Feb-20,"7,504.79","7,482.48","7,533.57","7,482.48",673.95M,0.30%
7-Feb-20,"7,466.70","7,504.79","7,506.26","7,441.14",705.97M,-0.51%
10-Feb-20,"7,446.88","7,466.70","7,466.70","7,427.85",597.28M,-0.27%
11-Feb-20,"7,499.44","7,446.88","7,529.54","7,446.88",697.68M,0.71%
12-Feb-20,"7,534.37","7,499.44","7,547.65","7,499.01",573.04M,0.47%
13-Feb-20,"7,452.03","7,534.37","7,534.37","7,406.94",820.27M,-1.09%
14-Feb-20,"7,409.13","7,452.03","7,472.85","7,403.69",629.85M,-0.58%
17-Feb-20,"7,433.25","7,409.13","7,449.95","7,409.13",394.57M,0.33%
18-Feb-20,"7,382.01","7,433.25","7,433.25","7,353.41",786.11M,-0.69%
19-Feb-20,"7,457.02","7,382.01","7,462.01","7,382.01",602.97M,1.02%
20-Feb-20,"7,436.64","7,457.02","7,480.49","7,436.64",779.37M,-0.27%
21-Feb-20,"7,403.92","7,436.64","7,436.70","7,370.63",872.32M,-0.44%
24-Feb-20,"7,156.83","7,403.92","7,403.92","7,114.45",1.08B,-3.34%
25-Feb-20,"7,017.88","7,156.83","7,198.23","7,004.94",976.46M,-1.94%
26-Feb-20,"7,042.47","7,017.88","7,044.66","6,871.85",982.16M,0.35%
27-Feb-20,"6,796.40","7,042.47","7,042.47","6,729.99",1.22B,-3.49%
28-Feb-20,"6,580.61","6,796.40","6,796.40","6,460.08",1.98B,-3.18%
2-Mar-20,"6,654.89","6,580.61","6,775.18","6,496.01",1.76B,1.13%
3-Mar-20,"6,718.20","6,654.89","6,846.28","6,654.89",1.28B,0.95%
4-Mar-20,"6,815.59","6,718.20","6,856.27","6,700.23",1.12B,1.45%
5-Mar-20,"6,705.43","6,815.59","6,834.12","6,662.61",1.15B,-1.62%
6-Mar-20,"6,462.55","6,705.43","6,705.43","6,431.44",1.38B,-3.62%
9-Mar-20,"5,965.77","6,462.55","6,462.55","5,891.56",2.10B,-7.69%
10-Mar-20,"5,960.23","5,965.77","6,231.06","5,927.85",1.73B,-0.09%
11-Mar-20,"5,876.52","5,960.23","6,088.50","5,860.75",1.51B,-1.40%
12-Mar-20,"5,237.48","5,876.52","5,876.52","5,237.48",2.21B,-10.87%
13-Mar-20,"5,366.11","5,237.48","5,696.48","5,237.48",1.94B,2.46%
16-Mar-20,"5,151.08","5,366.11","5,366.11","4,898.79",2.11B,-4.01%
17-Mar-20,"5,294.90","5,151.08","5,308.95","4,978.84",1.94B,2.79%
18-Mar-20,"5,080.58","5,294.90","5,294.90","5,006.20",1.84B,-4.05%
19-Mar-20,"5,151.61","5,080.58","5,181.04","4,942.37",1.96B,1.40%
20-Mar-20,"5,190.78","5,151.61","5,419.30","5,151.61",2.59B,0.76%
23-Mar-20,"4,993.89","5,190.78","5,194.83","4,922.76",1.63B,-3.79%
24-Mar-20,"5,446.01","4,993.89","5,446.01","4,993.89",1.58B,9.05%
25-Mar-20,"5,688.20","5,446.01","5,741.42","5,400.47",1.86B,4.45%
26-Mar-20,"5,815.73","5,688.20","5,815.73","5,503.35",1.54B,2.24%
27-Mar-20,"5,510.33","5,815.73","5,815.73","5,407.06",1.46B,-5.25%
30-Mar-20,"5,563.74","5,510.33","5,567.20","5,351.84",1.13B,0.97%
31-Mar-20,"5,671.96","5,563.74","5,702.66","5,545.85",1.60B,1.95%
1-Apr-20,"5,454.57","5,671.96","5,671.96","5,414.72",1.67B,-3.83%
2-Apr-20,"5,480.22","5,454.57","5,552.36","5,395.07",1.55B,0.47%
3-Apr-20,"5,415.50","5,480.22","5,486.29","5,396.66",1.18B,-1.18%
6-Apr-20,"5,582.39","5,415.50","5,590.58","5,415.50",1.21B,3.08%
7-Apr-20,"5,704.45","5,582.39","5,780.21","5,582.39",1.56B,2.19%
8-Apr-20,"5,677.73","5,704.45","5,704.45","5,589.73",1.10B,-0.47%
9-Apr-20,"5,842.66","5,677.73","5,842.66","5,677.68",1.28B,2.90%
14-Apr-20,"5,791.31","5,842.66","5,894.71","5,778.98",1.06B,-0.88%
15-Apr-20,"5,597.65","5,791.31","5,791.71","5,576.35",1.38B,-3.34%
16-Apr-20,"5,628.43","5,597.65","5,657.63","5,577.78",1.07B,0.55%
17-Apr-20,"5,786.96","5,628.43","5,839.33","5,628.43",1.20B,2.82%
20-Apr-20,"5,812.83","5,786.96","5,823.93","5,707.73",822.61M,0.45%
21-Apr-20,"5,641.03","5,812.83","5,812.83","5,641.03",888.66M,-2.96%
22-Apr-20,"5,770.63","5,641.03","5,777.06","5,641.03",867.00M,2.30%
23-Apr-20,"5,826.61","5,770.63","5,843.61","5,735.93",882.12M,0.97%
24-Apr-20,"5,752.23","5,826.61","5,827.24","5,728.80",807.87M,-1.28%
27-Apr-20,"5,846.79","5,752.23","5,855.61","5,752.23",792.25M,1.64%
28-Apr-20,"5,958.50","5,846.79","5,977.76","5,835.92",1.20B,1.91%
29-Apr-20,"6,115.25","5,958.50","6,129.60","5,950.83",1.29B,2.63%
