"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 07, 2020","9,514.60","9,470.48","9,695.84","9,450.75","98.12M","0.55%"
"Apr 06, 2020","9,462.34","9,259.73","9,522.11","9,259.09","81.88M","2.38%"
"Apr 03, 2020","9,242.44","9,281.33","9,309.87","9,219.10","70.42M","-0.31%"
"Apr 02, 2020","9,270.96","9,212.09","9,318.61","9,075.15","83.44M","1.11%"
"Apr 01, 2020","9,168.98","9,311.92","9,311.92","9,036.73","88.88M","-1.54%"
"Mar 31, 2020","9,311.92","9,184.78","9,370.85","9,155.11","107.29M","1.50%"
"Mar 30, 2020","9,174.39","9,047.71","9,174.39","8,866.35","94.71M","1.98%"
"Mar 27, 2020","8,996.37","9,174.95","9,192.97","8,868.05","110.30M","-2.26%"
"Mar 26, 2020","9,203.98","8,895.18","9,203.98","8,824.16","125.63M","2.39%"
"Mar 25, 2020","8,989.16","8,772.02","9,136.83","8,664.44","148.18M","2.93%"
"Mar 24, 2020","8,733.32","8,187.51","8,733.32","8,187.02","140.99M","7.02%"
"Mar 23, 2020","8,160.79","8,623.86","8,642.42","8,160.79","150.09M","-5.37%"
"Mar 20, 2020","8,623.86","8,782.15","9,174.58","8,623.86","255.26M","-1.80%"
"Mar 19, 2020","8,782.24","8,361.09","8,782.24","8,327.86","187.66M","5.32%"
"Mar 18, 2020","8,338.74","8,493.04","8,493.04","8,094.90","211.12M","-1.82%"
"Mar 17, 2020","8,493.04","8,227.08","8,627.48","7,953.53","154.20M","3.23%"
"Mar 16, 2020","8,227.08","8,360.09","8,391.21","7,650.23","203.96M","-1.68%"
"Mar 13, 2020","8,367.56","8,282.51","9,042.54","8,266.48","231.69M","1.17%"
"Mar 12, 2020","8,270.44","9,152.50","9,152.50","8,168.86","265.74M","-9.64%"
"Mar 11, 2020","9,152.50","9,256.45","9,373.92","9,130.19","146.25M","-0.47%"
"Mar 10, 2020","9,195.93","9,247.64","9,576.04","9,150.54","194.12M","-0.01%"
"Mar 09, 2020","9,196.60","9,736.82","9,736.82","9,059.11","223.19M","-5.55%"
"Mar 06, 2020","9,736.82","10,139.78","10,142.31","9,652.51","142.81M","-4.01%"
"Mar 05, 2020","10,143.57","10,303.76","10,321.42","10,045.10","106.75M","-1.05%"
"Mar 04, 2020","10,251.39","10,128.76","10,296.03","10,072.23","103.47M","1.63%"
"Mar 03, 2020","10,087.40","9,999.52","10,286.29","9,990.61","139.05M","1.37%"
"Mar 02, 2020","9,950.83","9,844.27","10,136.62","9,790.42","155.09M","1.22%"
"Feb 28, 2020","9,831.03","10,205.46","10,205.46","9,725.32","183.60M","-3.67%"
"Feb 27, 2020","10,205.46","10,456.82","10,461.17","10,094.92","144.74M","-2.92%"
"Feb 26, 2020","10,512.15","10,405.30","10,546.67","10,216.55","114.16M","0.32%"
