"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","23,883.09","23,958.88","24,169.72","23,868.91","374.49M","0.56%"
"May 04, 2020","23,749.76","23,581.55","23,769.56","23,361.16","358.39M","0.11%"
"May 01, 2020","23,723.69","24,120.78","24,120.78","23,645.30","421.59M","-2.55%"
"Apr 30, 2020","24,345.72","24,585.57","24,585.57","24,186.90","487.84M","-1.17%"
"Apr 29, 2020","24,633.86","24,490.37","24,764.77","24,453.99","462.48M","2.21%"
"Apr 28, 2020","24,101.55","24,357.17","24,512.24","24,031.20","405.71M","-0.13%"
"Apr 27, 2020","24,133.78","23,866.15","24,207.65","23,840.61","391.02M","1.51%"
"Apr 24, 2020","23,775.27","23,628.24","23,826.00","23,417.68","379.31M","1.11%"
"Apr 23, 2020","23,515.26","23,543.09","23,885.36","23,483.35","393.57M","0.17%"
"Apr 22, 2020","23,475.82","23,437.34","23,613.10","23,339.60","356.39M","1.99%"
"Apr 21, 2020","23,018.88","23,365.25","23,365.25","22,941.88","487.65M","-2.67%"
"Apr 20, 2020","23,650.44","24,095.10","24,108.69","23,627.19","427.35M","-2.44%"
"Apr 17, 2020","24,242.49","23,817.15","24,264.21","23,817.15","530.28M","2.99%"
"Apr 16, 2020","23,537.68","23,543.66","23,598.08","23,211.38","478.62M","0.14%"
"Apr 15, 2020","23,504.35","23,600.72","23,649.72","23,233.32","442.15M","-1.86%"
"Apr 14, 2020","23,949.76","23,690.57","24,040.58","23,683.44","487.96M","2.39%"
"Apr 13, 2020","23,390.77","23,698.93","23,698.93","23,095.35","396.56M","-1.39%"
"Apr 09, 2020","23,719.37","23,690.66","24,008.99","23,504.09","568.72M","1.22%"
"Apr 08, 2020","23,433.57","22,893.47","23,513.40","22,682.99","476.09M","3.44%"
"Apr 07, 2020","22,653.86","23,537.44","23,617.24","22,634.45","595.87M","-0.12%"
"Apr 06, 2020","22,679.99","21,693.63","22,783.45","21,693.63","614.20M","7.73%"
"Apr 03, 2020","21,052.53","21,285.93","21,447.81","20,863.09","451.62M","-1.69%"
"Apr 02, 2020","21,413.44","20,819.46","21,477.77","20,735.02","534.67M","2.24%"
"Apr 01, 2020","20,943.51","21,227.38","21,487.24","20,784.43","508.31M","-4.44%"
"Mar 31, 2020","21,917.16","22,208.42","22,480.37","21,852.08","573.59M","-1.84%"
"Mar 30, 2020","22,327.48","21,678.22","22,378.09","21,522.08","546.85M","3.19%"
"Mar 27, 2020","21,636.78","21,898.47","22,327.57","21,469.27","591.33M","-4.06%"
"Mar 26, 2020","22,552.17","21,468.38","22,595.06","21,427.10","713.73M","6.38%"
"Mar 25, 2020","21,200.55","21,050.34","22,019.93","20,538.34","803.31M","2.39%"
"Mar 24, 2020","20,704.91","19,722.19","20,737.70","19,649.25","808.47M","11.37%"
"Mar 23, 2020","18,591.93","19,028.36","19,121.01","18,213.65","801.24M","-3.04%"
"Mar 20, 2020","19,173.98","20,253.15","20,531.26","19,094.27","872.29M","-4.55%"
"Mar 19, 2020","20,087.19","19,830.01","20,442.63","19,177.13","795.80M","0.95%"
"Mar 18, 2020","19,898.92","20,188.69","20,489.33","18,917.46","874.09M","-6.30%"
"Mar 17, 2020","21,237.38","20,487.05","21,379.35","19,882.26","795.84M","5.20%"
"Mar 16, 2020","20,188.52","20,917.53","21,768.28","20,116.46","775.91M","-12.93%"
"Mar 13, 2020","23,185.62","21,973.82","23,189.76","21,285.37","843.08M","9.36%"
"Mar 12, 2020","21,200.62","22,184.71","22,837.95","21,154.46","911.77M","-9.99%"
"Mar 11, 2020","23,553.22","24,604.63","24,604.63","23,328.32","663.96M","-5.86%"
"Mar 10, 2020","25,018.16","24,453.00","25,020.99","23,690.34","654.86M","4.89%"
"Mar 09, 2020","23,851.02","24,992.36","24,992.36","23,706.07","750.43M","-7.79%"
"Mar 06, 2020","25,864.78","25,457.21","25,994.38","25,226.62","601.01M","-0.98%"
"Mar 05, 2020","26,121.28","26,671.92","26,671.92","25,943.33","477.37M","-3.58%"
"Mar 04, 2020","27,090.86","26,383.68","27,102.34","26,286.31","457.59M","4.53%"
"Mar 03, 2020","25,917.41","26,762.47","27,084.59","25,706.28","647.08M","-2.94%"
"Mar 02, 2020","26,703.32","25,590.51","26,706.17","25,391.96","637.20M","5.09%"
"Feb 28, 2020","25,409.36","25,270.83","25,494.24","24,681.01","922.68M","-1.39%"
